17-068036-FC01,3/6/2018,Columbia,"1005 Camden Way Evans, Georgia",30809,"Mortgage Electronic Registration Systems, Inc., as nominee for First Bank Mortgage a division of First Bank of Georgia, its successors and assigns",3/26/2010,186535,,Auction.com,,,,,
17-067742-FC01,3/6/2018,Columbia,"306 Summerfield Circle Grovetown, Georgia",30813,"Mortgage Electronic Registration Systems, Inc., as nominee for Primary Residential Mortgage Inc., its successors and assigns",8/14/2008,148667,,Xome.com,,,,,
17-066533-FC02,3/6/2018,Columbia,"4598 Hebbard Way Evans, Georgia",30809,"Mortgage Electronic Registration Systems, Inc., as nominee for Federal Guaranty Mortgage Co., its successors and assigns",7/29/2005,174757,,Auction.com,,,,,
17-066552-FC02,3/6/2018,Columbia,"111 W Lynne Drive Martinez, Georgia",30907,"Mortgage Electronic Registration Systems, Inc. as nominee for Carrington Mortgage Services, LLC, its successors and assigns",9/18/2014,139974,,,,,,,
16-061704-FC03,3/6/2018,Columbia,"461 Sebastian Drive Grovetown, Georgia",30813,"Mortgage Electronic Registration Systems, Inc., as nominee for Carrington Mortgage Services, LLC., its successors and assigns",6/12/2014,214412,,,,,,,
15-052946-FC03,3/6/2018,Columbia,"223 Corley Circle Grovetown, Georgia",30813,"Wells Fargo Bank, N.A.",6/14/2013,231550,,,,,,,
18-068257-FC01,3/6/2018,Coweta,"50 Stillwater Court Newnan, Georgia",30263,"Mortgage Electronic Registration Systems, Inc. as nominee for Brand Mortgage Group, its successors and assigns",6/19/2013,162418,,,,,,,
17-066710-FC02,3/6/2018,Coweta,"44 Sawgrass Manor Drive Newnan, Georgia",30265,"Mortgage Electronic Registration Systems, Inc. as nominee for Quicken Loans Inc., its successors and assigns",3/29/2013,127900,,Auction.com,,,,,
16-056843-FC05,3/6/2018,Coweta,"144 Moody Farm Road Newnan, Georgia",30263,"Mortgage Electronic Registration Systems, Inc. as nominee for Market Street Mortgage Corporation",1/31/2007,84848,,Auction.com,,,,,
17-064108-FC02,3/6/2018,Dade,"1871 Mount Olive Road Lookout Mountain, Georgia",30750,"ABN AMRO Mortgage Group, Inc.",7/18/2002,75000,,Auction.com,,,,,
17-064437-FC02,3/6/2018,Dawson,"5070 S Sanderlin Mountain NKA 554 S Sanderlin Mountain # 5070 Big Canoe, Georgia",30143,"Mortgage Electronic Registration Systems, Inc. as nominee for Bank of America, N.A., its successors and assigns",11/14/2013,262400,,,,,,,
18-068118-FC01,3/6/2018,Dawson,"6176 Jewel Weed Turn Big Canoe, Georgia",30143,"Mortgage Electronic Registration Systems, Inc., as nominee for Superior Home Mortgage Corporation, its successors and assigns",5/14/2010,184000,,Auction.com,,,,,
15-051168-FC09,3/6/2018,DeKalb,"516 Candler Park Drive NE Atlanta, Georgia",30307,"Mortgage Electronic Registration Systems, Inc. as nominee for Real Estate Mortgage Network, Inc.",5/22/2008,266437,,Auction.com,,,,,
13-038476-FC06,3/6/2018,DeKalb,"3091 Lindon Lane Decatur, Georgia",30033,"Mortgage Electronic Registration Systems, Inc. as nominee for Quicken Loans, Inc., its successors and assigns",5/26/2011,92920,,Auction.com,,,,,
14-047844-FC05,3/6/2018,DeKalb,"5642 Southern Pines Court Stone Mountain, Georgia",30087,"Ford Consumer Finance Company, Inc.",12/17/1993,144019,,Auction.com,,,,,
14-046412-FC05,3/6/2018,DeKalb,"6069 Windy Ridge Trail Lithonia, Georgia",30058,Option One Mortgage Corporation,10/13/2006,258461,,,,,,,
14-049112-FC06,3/6/2018,DeKalb,"787 Southland Pass Stone Mountain, Georgia",30087,"Mortgage Electronic Registration Systems, Inc. as nominee for Quicken Loans Inc., its successors and assigns",9/23/2011,115039,,Auction.com,,,,,
17-064180-FC01,3/6/2018,DeKalb,"4005 Forrestal Drive Chamblee, Georgia",30341,"Mortgage Electronic Registration Systems, Inc. as nominee for Quicken Loans Inc., its successors and assigns",8/17/2012,189750,,,,,,,
17-063593-FC02,3/6/2018,DeKalb,"5620 Hunters Crossing Court Lithonia, Georgia",30038,"Secretary of Veterans Affairs, an Officer of the United States of America, its successors and assigns",8/28/2000,118900,,,,,,,
16-062354-FC01,3/6/2018,DeKalb,"6104 Idlewood Pass Lithonia, Georgia",30038,"Mortgage Electronic Registration Systems, Inc. as nominee for Southeast Mortgage of Georgia, Inc., its successors and assigns",5/24/2010,82464,,Auction.com,,,,,
16-059813-FC04,3/6/2018,DeKalb,"4053 Lucas Lane Ellenwood, Georgia",30294,"Mortgage Electronic Registration Systems, Inc. as nominee for Primary Residential Mortgage, Inc.",7/31/2012,207398,,,,,,,
17-066843-FC02,3/6/2018,DeKalb,"3784 Soapstone Road Decatur, Georgia",30034,"ABN AMRO Mortgage Group, Inc.",10/23/2001,106160,,Auction.com,,,,,
17-067801-FC01,3/6/2018,DeKalb,"4203 Weelaunee Road Ellenwood, Georgia",30294,"Mortgage Electronic Registration Systems, Inc., as nominee for First Service Mortgage, Inc., its successors and assigns",9/19/2008,133964,,ServiceLink Auction,,,,,
17-067637-FC01,3/6/2018,DeKalb,"4299 Meadow Vista Drive Lithonia, Georgia",30038,"Mortgage Electronic Registration Systems, Inc. as nominee for Academy Mortgage Corporation",9/7/2010,245471,,Auction.com,,,,,
17-064574-FC04,3/6/2018,DeKalb,"4193 Durham Circle Stone Mountain, Georgia",30083,"Mortgage Electronic Registration Systems, Inc. as nominee for Georgetown Mortgage, Inc.",3/26/2004,161232,,Auction.com,,,,,
18-068094-FC01,3/6/2018,DeKalb,"4703 Brookspring Way Stone Mountain, Georgia",30083,"Mortgage Electronic Registration Systems, Inc. as nominee for First Magnus Financial Corporation, An Arizona Corporation",10/20/2006,127382,,Auction.com,,,,,
18-068271-FC01,3/6/2018,DeKalb,"3240 Christian Springs Drive Lithonia, Georgia",30038,"Gulf States Mortgage Co., Inc.",6/27/1991,59900,,Auction.com,,,,,
17-068035-FC01,3/6/2018,DeKalb,"773 The Trace Lithonia, Georgia",30058,"Secretary of Veterans Affairs, an Officer of the United States of America",8/2/1993,64890,,,,,,,
